[INFO ] 2021-01-11 16:13:58,111 失败:imagefile imgs/manfInfocard/2020102214214448.jpg
[INFO ] 2021-01-11 16:13:58,112 失败:imagefile imgs/manfInfocard/2019062713294227.jpg
[INFO ] 2021-01-11 16:13:58,112 失败:imagefile imgs/manfInfocard/2019112914443423.jpg
[INFO ] 2021-01-11 16:13:58,112 失败:imagefile imgs/manfInfocard/2019050517553686.jpg
[INFO ] 2021-01-11 16:13:58,113 失败:imagefile imgs/manfInfocard/2019120616535367.jpg
[INFO ] 2021-01-11 16:13:58,115 失败:imagefile imgs/manfInfocard/2019120616545023.jpg
[INFO ] 2021-01-11 16:13:58,117 失败:imagefile imgs/manfInfocard/2020042216015513.jpeg
[INFO ] 2021-01-11 16:13:58,117 失败:imagefile imgs/manfInfocard/2016121609012027.jpg
[INFO ] 2021-01-11 16:13:58,117 失败:imagefile imgs/manfInfocard/2016121609020958.jpg
[INFO ] 2021-01-11 16:13:58,118 失败:imagefile imgs/manfInfocard/2019122409105391.jpg
[INFO ] 2021-01-11 16:13:58,118 失败:imagefile imgs/manfInfocard/2019061313292193.jpg
[INFO ] 2021-01-11 16:13:58,118 失败:imagefile imgs/manfInfocard/2019061313293235.jpg
[INFO ] 2021-01-11 16:13:58,119 失败:imagefile imgs/manfInfocard/2017021616143564.jpg
[INFO ] 2021-01-11 16:13:58,119 失败:imagefile imgs/manfInfocard/2017021616145178.jpg
[INFO ] 2021-01-11 16:13:58,119 失败:imagefile imgs/manfInfocard/2017021616150647.jpg
[INFO ] 2021-01-11 16:13:58,120 失败:imagefile imgs/manfInfocard/202004151328556.jpg
[INFO ] 2021-01-11 16:13:58,120 失败:imagefile imgs/manfInfocard/2016071917080167.jpg
[INFO ] 2021-01-11 16:13:58,121 失败:imagefile imgs/manfInfocard/2016071917083431.jpg
[INFO ] 2021-01-11 16:13:58,121 失败:imagefile imgs/manfInfocard/2016071917085954.jpg
[INFO ] 2021-01-11 16:13:58,121 失败:imagefile imgs/manfInfocard/2016030413192572.jpg
[INFO ] 2021-01-11 16:13:58,122 失败:imagefile imgs/manfInfocard/2020102315573841.jpg
[INFO ] 2021-01-11 16:13:58,122 失败:imagefile imgs/manfInfocard/2018090413153832.jpg
[INFO ] 2021-01-11 16:13:58,122 失败:imagefile imgs/manfInfocard/2016081515562820.jpg
[INFO ] 2021-01-11 16:13:58,123 失败:imagefile imgs/manfInfocard/2019121814591684.jpg
[INFO ] 2021-01-11 16:13:58,123 失败:imagefile imgs/manfInfocard/2018042409180127.jpg
[INFO ] 2021-01-11 16:13:58,123 失败:imagefile imgs/manfInfocard/201910161334520.jpg
[INFO ] 2021-01-11 16:13:58,123 失败:imagefile imgs/manfInfocard/2018111614563252.jpg
[INFO ] 2021-01-11 16:13:58,124 失败:imagefile imgs/manfInfocard/2019072210502978.jpg
[INFO ] 2021-01-11 16:13:58,124 失败:imagefile imgs/manfInfocard/2016051114080274.jpg
[INFO ] 2021-01-11 16:13:58,124 失败:imagefile imgs/manfInfocard/2020072912123216.jpg
[INFO ] 2021-01-11 16:13:58,125 失败:imagefile imgs/manfInfocard/2017042510594027.jpg
[INFO ] 2021-01-11 16:13:58,125 失败:imagefile imgs/manfInfocard/2017032113051421.png
[INFO ] 2021-01-11 16:13:58,127 失败:imagefile imgs/manfInfocard/2020010316114093.jpg
[INFO ] 2021-01-11 16:13:58,128 失败:imagefile imgs/manfInfocard/201703101333112.jpg
[INFO ] 2021-01-11 16:13:58,128 失败:imagefile imgs/manfInfocard/2020071511431034.jpg
[INFO ] 2021-01-11 16:13:58,128 失败:imagefile imgs/manfInfocard/2018103114330766.jpg
[INFO ] 2021-01-11 16:13:58,129 失败:imagefile imgs/manfInfocard/2019041515444189.jpg
[INFO ] 2021-01-11 16:13:58,130 失败:imagefile imgs/manfInfocard/2017052313194336.jpg
[INFO ] 2021-01-11 16:13:58,130 失败:imagefile imgs/manfInfocard/2016091810512919.jpg
[INFO ] 2021-01-11 16:13:58,131 失败:imagefile imgs/manfInfocard/2017030912390272.jpg
[INFO ] 2021-01-11 16:13:58,131 失败:imagefile imgs/manfInfocard/2016081216445243.jpg
[INFO ] 2021-01-11 16:13:58,131 失败:imagefile imgs/manfInfocard/2016050413364419.jpg
[INFO ] 2021-01-11 16:13:58,132 失败:imagefile imgs/manfInfocard/2016072713292614.jpg
[INFO ] 2021-01-11 16:13:58,132 失败:imagefile imgs/manfInfocard/2016072713294542.jpg
[INFO ] 2021-01-11 16:13:58,132 失败:imagefile imgs/manfInfocard/2016072713300189.jpg
[INFO ] 2021-01-11 16:13:58,133 失败:imagefile imgs/manfInfocard/201607271330326.jpg
[INFO ] 2021-01-11 16:13:58,133 失败:imagefile imgs/manfInfocard/2016072810531028.jpg
[INFO ] 2021-01-11 16:13:58,133 失败:imagefile imgs/manfInfocard/2020011413415355.jpg
[INFO ] 2021-01-11 16:13:58,134 失败:imagefile imgs/manfInfocard/202001141342031.jpg
[INFO ] 2021-01-11 16:13:58,134 失败:imagefile imgs/manfInfocard/2017022316404373.jpg
[INFO ] 2021-01-11 16:13:58,135 失败:imagefile imgs/manfInfocard/2016080817451374.jpg
[INFO ] 2021-01-11 16:13:58,142 失败:imagefile imgs/manfInfocard/2016080817460651.jpg
[INFO ] 2021-01-11 16:13:58,143 失败:imagefile imgs/manfInfocard/2016080817461862.jpg
[INFO ] 2021-01-11 16:13:58,143 失败:imagefile imgs/manfInfocard/201608081746419.jpg
[INFO ] 2021-01-11 16:13:58,143 失败:imagefile imgs/manfInfocard/2016080817465336.jpg
[INFO ] 2021-01-11 16:13:58,145 失败:imagefile imgs/manfInfocard/201608081747088.jpg
[INFO ] 2021-01-11 16:13:58,146 失败:imagefile imgs/manfInfocard/201608081748063.jpg
[INFO ] 2021-01-11 16:13:58,146 失败:imagefile imgs/manfInfocard/201608081748217.jpg
[INFO ] 2021-01-11 16:13:58,147 失败:imagefile imgs/manfInfocard/2016080817483586.jpg
[INFO ] 2021-01-11 16:13:58,147 失败:imagefile imgs/manfInfocard/2016080817485333.jpg
[INFO ] 2021-01-11 16:13:58,147 失败:imagefile imgs/manfInfocard/2019110616410748.jpeg
[INFO ] 2021-01-11 16:13:58,148 失败:imagefile imgs/manfInfocard/2016110709433373.JPG
[INFO ] 2021-01-11 16:13:58,148 失败:imagefile imgs/manfInfocard/201611070943483.JPG
[INFO ] 2021-01-11 16:13:58,148 失败:imagefile imgs/manfInfocard/2016110709440062.JPG
[INFO ] 2021-01-11 16:13:58,149 失败:imagefile imgs/manfInfocard/2016110709441271.JPG
[INFO ] 2021-01-11 16:13:58,149 失败:imagefile imgs/manfInfocard/2019123012592645.jpg
[INFO ] 2021-01-11 16:13:58,149 失败:imagefile imgs/manfInfocard/2019110813252281.jpg
[INFO ] 2021-01-11 16:13:58,150 失败:imagefile imgs/manfInfocard/2019110813260649.jpg
[INFO ] 2021-01-11 16:13:58,150 失败:imagefile imgs/manfInfocard/2017110110070818.jpg
[INFO ] 2021-01-11 16:13:58,150 失败:imagefile imgs/manfInfocard/2020070612591373.jpg
[INFO ] 2021-01-11 16:13:58,151 失败:imagefile imgs/manfInfocard/2016052010482820.jpg
[INFO ] 2021-01-11 16:13:58,151 失败:imagefile imgs/manfInfocard/2016072011534450.jpg
[INFO ] 2021-01-11 16:13:58,151 失败:imagefile imgs/manfInfocard/2016072011542758.jpg
[INFO ] 2021-01-11 16:13:58,153 失败:imagefile imgs/manfInfocard/2019120616543718.jpg
[INFO ] 2021-01-11 16:13:58,154 失败:imagefile imgs/manfInfocard/2016072011545331.jpg
[INFO ] 2021-01-11 16:13:58,154 失败:imagefile imgs/manfInfocard/2016051314470111.jpg
[INFO ] 2021-01-11 16:13:58,154 失败:imagefile imgs/manfInfocard/2019041010051748.jpg
[INFO ] 2021-01-11 16:13:58,155 失败:imagefile imgs/manfInfocard/2017011610103175.jpg
[INFO ] 2021-01-11 16:13:58,155 失败:imagefile imgs/manfInfocard/2016121516405657.jpg
[INFO ] 2021-01-11 16:13:58,155 失败:imagefile imgs/manfInfocard/2016121516411297.jpg
[INFO ] 2021-01-11 16:13:58,156 失败:imagefile imgs/manfInfocard/2016121516413475.jpg
[INFO ] 2021-01-11 16:13:58,156 失败:imagefile imgs/manfInfocard/2019082211475923.jpg
[INFO ] 2021-01-11 16:13:58,156 失败:imagefile imgs/manfInfocard/2017011110362112.jpg
[INFO ] 2021-01-11 16:13:58,157 失败:imagefile imgs/manfInfocard/2019050611020469.png
[INFO ] 2021-01-11 16:13:58,157 失败:imagefile imgs/manfInfocard/2017041009183827.jpg
[INFO ] 2021-01-11 16:13:58,157 失败:imagefile imgs/manfInfocard/2020090214135321.jpg
[INFO ] 2021-01-11 16:13:58,158 失败:imagefile imgs/manfInfocard/2020090214153179.jpg
[INFO ] 2021-01-11 16:13:58,158 失败:imagefile imgs/manfInfocard/2020071517152086.jpeg
[INFO ] 2021-01-11 16:13:58,158 失败:imagefile imgs/manfInfocard/2016031417390420.png
[INFO ] 2021-01-11 16:13:58,159 失败:imagefile imgs/manfInfocard/2018042415133793.jpg
[INFO ] 2021-01-11 16:13:58,159 失败:imagefile imgs/manfInfocard/2018042415140641.jpg
[INFO ] 2021-01-11 16:13:58,161 失败:imagefile imgs/manfInfocard/2018042415134962.jpg
[INFO ] 2021-01-11 16:13:58,162 失败:imagefile imgs/manfInfocard/2019050916002459.jpg
[INFO ] 2021-01-11 16:13:58,162 失败:imagefile imgs/manfInfocard/2018103110134214.jpg
[INFO ] 2021-01-11 16:13:58,162 失败:imagefile imgs/manfInfocard/2019071114243218.jpg
[INFO ] 2021-01-11 16:13:58,163 失败:imagefile imgs/manfInfocard/2019041515304614.jpg
[INFO ] 2021-01-11 16:13:58,163 失败:imagefile imgs/manfInfocard/2016103113455538.jpg
[INFO ] 2021-01-11 16:13:58,163 失败:imagefile imgs/manfInfocard/2018111314484551.jpg
[INFO ] 2021-01-11 16:13:58,164 失败:imagefile imgs/manfInfocard/2017030115063889.jpg
[INFO ] 2021-01-11 16:13:58,164 失败:imagefile imgs/manfInfocard/2020102713495083.jpg
[INFO ] 2021-01-11 16:13:58,164 失败:imagefile imgs/manfInfocard/2016072510491383.jpg
[INFO ] 2021-01-11 16:13:58,165 失败:imagefile imgs/manfInfocard/2016072510495575.jpg
[INFO ] 2021-01-11 16:13:58,165 失败:imagefile imgs/manfInfocard/2016072510510599.jpg
[INFO ] 2021-01-11 16:13:58,165 失败:imagefile imgs/manfInfocard/2020101914223451.jpg
[INFO ] 2021-01-11 16:13:58,166 失败:imagefile imgs/manfInfocard/2019112116335261.jpeg
[INFO ] 2021-01-11 16:13:58,166 失败:imagefile imgs/manfInfocard/2017062215462680.png
[INFO ] 2021-01-11 16:13:58,166 失败:imagefile imgs/manfInfocard/2016091916005696.jpg
[INFO ] 2021-01-11 16:13:58,167 失败:imagefile imgs/manfInfocard/2016091916011936.jpg
[INFO ] 2021-01-11 16:13:58,167 失败:imagefile imgs/manfInfocard/2016091916015964.jpg
[INFO ] 2021-01-11 16:13:58,167 失败:imagefile imgs/manfInfocard/2016091818513013.jpg
[INFO ] 2021-01-11 16:13:58,168 失败:imagefile imgs/manfInfocard/2016091818515424.jpg
[INFO ] 2021-01-11 16:13:58,168 失败:imagefile imgs/manfInfocard/2016091818522589.jpg
[INFO ] 2021-01-11 16:13:58,168 失败:imagefile imgs/manfInfocard/201912191018251.jpg
[INFO ] 2021-01-11 16:13:58,169 失败:imagefile imgs/manfInfocard/2018082210373528.jpg
[INFO ] 2021-01-11 16:13:58,169 失败:imagefile imgs/manfInfocard/2018082210394372.jpg
[INFO ] 2021-01-11 16:13:58,170 失败:imagefile imgs/manfInfocard/2018082210395947.jpg
[INFO ] 2021-01-11 16:13:58,170 失败:imagefile imgs/manfInfocard/2019041511284520.jpg
[INFO ] 2021-01-11 16:13:58,170 失败:imagefile imgs/manfInfocard/2019103109403962.jpeg
[INFO ] 2021-01-11 16:13:58,171 失败:imagefile imgs/manfInfocard/2020051314242132.jpg
[INFO ] 2021-01-11 16:13:58,171 失败:imagefile imgs/manfInfocard/2020052114071698.jpg
[INFO ] 2021-01-11 16:13:58,171 失败:imagefile imgs/manfInfocard/2017040709304618.jpg
[INFO ] 2021-01-11 16:13:58,172 失败:imagefile imgs/manfInfocard/2016030117222331.JPG
[INFO ] 2021-01-11 16:13:58,172 失败:imagefile imgs/manfInfocard/2018110112094197.jpg
[INFO ] 2021-01-11 16:13:58,172 失败:imagefile imgs/manfInfocard/2020041415045353.jpg
[INFO ] 2021-01-11 16:13:58,173 失败:imagefile imgs/manfInfocard/2018110513462255.jpg
[INFO ] 2021-01-11 16:13:58,173 失败:imagefile imgs/manfInfocard/2019062616101660.jpg
[INFO ] 2021-01-11 16:13:58,173 失败:imagefile imgs/manfInfocard/2020071315034858.jpg
[INFO ] 2021-01-11 16:13:58,174 失败:imagefile imgs/manfInfocard/2016060813585419.jpg
[INFO ] 2021-01-11 16:13:58,174 失败:imagefile imgs/manfInfocard/2019041116403649.jpg
[INFO ] 2021-01-11 16:13:58,174 失败:imagefile imgs/manfInfocard/201904201519081.jpg
[INFO ] 2021-01-11 16:13:58,175 失败:imagefile imgs/manfInfocard/2019101815143056.jpg
[INFO ] 2021-01-11 16:13:58,175 失败:imagefile imgs/manfInfocard/2017060210471294.jpg
[INFO ] 2021-01-11 16:13:58,176 失败:imagefile imgs/manfInfocard/201907051429531.jpg
